ETABLISSEMENT;PRIVE.PUBLIQUE;DEGRE;DENOMINATION;NOM_ECOLE;STATUT;ADRESSE;VILLE;ADRESS;LATITUDE;LONGITUDE;icon
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LA CHAPELLE BATON;NON DEMANDE;2 RUE DES TILLEULS 86250;LA CHAPELLE BATON;2 RUE DES TILLEULS 86250, LA CHAPELLE BATON;46,18647946;0,394849531;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;GERARD GAUTHIER;NON DEMANDE;2 RUE DU CHEMIN VERT 86380;ST MARTIN LA PALLU;2 RUE DU CHEMIN VERT 86380, ST MARTIN LA PALLU;46,738016;0,31002104;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;ST LAON;NON DEMANDE;2 RUE DU CLOS DU PINEAU 86200;ST LAON;2 RUE DU CLOS DU PINEAU 86200, ST LAON;46,97932785;-0,017929962;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;JEAN MIRONNEAU;NON DEMANDE;2 RUE DU GENERAL RIVAUD 86510;BRUX;2 RUE DU GENERAL RIVAUD 86510, BRUX;46,23528331;0,19392612;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LA ROSE DES VENTS;NON DEMANDE;2 RUE DU MANOIR 86170;AVANTON;2 RUE DU MANOIR 86170, AVANTON;46,66243124;0,303311512;www/black.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;NOTRE-DAME DE LA CHAUME;NON DEMANDE;2 RUE DU PUITS GRIPPON 86190;VOUILLE;2 RUE DU PUITS GRIPPON 86190, VOUILLE;46,64129899;0,17114639;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;JACQUES LAFOND;NON DEMANDE;2 RUE EDOUARD NORMAND 86700;COUHE;2 RUE EDOUARD NORMAND 86700, COUHE;46,3002765;0,1871116;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;C. ET D. ALLEAUME;NON DEMANDE;2 RUE FRANCOIS ALBERT 86190;BERUGES;2 RUE FRANCOIS ALBERT 86190, BERUGES;46,5670328;0,20811139;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;LES P`TITS CAILLOUX;NON DEMANDE;2 RUE FRANCOIS MITTERRAND 86170;NEUVILLE DE POITOU;2 RUE FRANCOIS MITTERRAND 86170, NEUVILLE DE POITOU;46,68244728;0,242975354;www/black.png
PREMIER DEGRE PRIVE;PRIVE;ECOLE;ECOLE PRIMAIRE PRIVEE;SAINT JOSEPH;NON DEMANDE;2 RUE JACQUES DUCLOS 86530;NAINTRE;2 RUE JACQUES DUCLOS 86530, NAINTRE;46,76176656;0,48132474;www/black.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;PAUL BERT;NON DEMANDE;2 RUE PAUL BERT 86000;POITIERS;2 RUE PAUL BERT 86000, POITIERS;46,5851607;0,340147956;www/black.png
